command	exit_code	artifact
lake env lean LeanLCAExactChallenge/Ext/Yoneda.lean	0	yoneda_lean.log
lake build LeanLCAExactChallenge.Ext.Yoneda	0	lake_build_ext_yoneda.log
lake env lean LeanLCAExactChallenge.lean	0	root_import.log
lake env lean audit/RequiredDeclarations.lean	0	high-volume #check log omitted
lake env lean audit/OriginalFourTaskCompletionDeclarations.lean	0	high-volume #check log omitted
lake env lean audit/ProductSuccessDeclarations.lean	0	high-volume #check log omitted
scripts/audit_no_forbidden_lean_tokens.sh .	0	forbidden_tokens.log
git diff --check over changed paths and checkpoint artifacts	0	diff_check.log
python3 audit/original_four_task_contract_audit.py ...	0	original_four_task_contract_audit.json
python3 audit/external_audit.py ...	1	external_audit.log
